"id";"date";"price"
"1";"1950-02-01";"34.73"
"2";"1950-03-01";"34.73"
"3";"1950-04-01";"34.73"
"4";"1950-05-01";"34.73"
"5";"1950-06-01";"34.73"
"6";"1950-07-01";"34.73"
"7";"1950-08-01";"34.73"
"8";"1950-09-01";"34.73"
"9";"1950-10-01";"34.73"
"10";"1950-11-01";"34.73"
"11";"1950-12-01";"34.72"
"12";"1951-01-01";"34.72"
"13";"1951-02-01";"34.73"
"14";"1951-03-01";"34.73"
"15";"1951-04-01";"34.73"
"16";"1951-05-01";"34.73"
"17";"1951-06-01";"34.73"
"18";"1951-07-01";"34.72"
"19";"1951-08-01";"34.71"
"20";"1951-09-01";"34.71"
"21";"1951-10-01";"34.71"
"22";"1951-11-01";"34.73"
"23";"1951-12-01";"34.66"
"24";"1952-01-01";"34.49"
"25";"1952-02-01";"34.49"
"26";"1952-03-01";"34.68"
"27";"1952-04-01";"34.82"
"28";"1952-05-01";"34.73"
"29";"1952-06-01";"34.53"
"30";"1952-07-01";"34.57"
"31";"1952-08-01";"34.58"
"32";"1952-09-01";"34.51"
"33";"1952-10-01";"34.63"
"34";"1952-11-01";"34.72"
"35";"1952-12-01";"34.79"
"36";"1953-01-01";"34.88"
"37";"1953-02-01";"34.95"
"38";"1953-03-01";"34.92"
"39";"1953-04-01";"34.93"
"40";"1953-05-01";"34.9"
"41";"1953-06-01";"34.89"
"42";"1953-07-01";"34.91"
"43";"1953-08-01";"34.91"
"44";"1953-09-01";"34.76"
"45";"1953-10-01";"34.79"
"46";"1953-11-01";"34.86"
"47";"1953-12-01";"34.85"
"48";"1954-01-01";"34.86"
"49";"1954-02-01";"34.88"
"50";"1954-03-01";"34.92"
"51";"1954-04-01";"35.04"
"52";"1954-05-01";"35.08"
"53";"1954-06-01";"35.07"
"54";"1954-07-01";"35.08"
"55";"1954-08-01";"35.05"
"56";"1954-09-01";"35.08"
"57";"1954-10-01";"35.08"
"58";"1954-11-01";"35.06"
"59";"1954-12-01";"35.04"
"60";"1955-01-01";"35.04"
"61";"1955-02-01";"35.05"
"62";"1955-03-01";"35.06"
"63";"1955-04-01";"35.05"
"64";"1955-05-01";"35.05"
"65";"1955-06-01";"35.04"
"66";"1955-07-01";"35.05"
"67";"1955-08-01";"35.03"
"68";"1955-09-01";"34.98"
"69";"1955-10-01";"34.98"
"70";"1955-11-01";"34.98"
"71";"1955-12-01";"34.97"
"72";"1956-01-01";"34.99"
"73";"1956-02-01";"34.99"
"74";"1956-03-01";"34.99"
"75";"1956-04-01";"34.98"
"76";"1956-05-01";"34.99"
"77";"1956-06-01";"34.98"
"78";"1956-07-01";"35"
"79";"1956-08-01";"35.02"
"80";"1956-09-01";"35.01"
"81";"1956-10-01";"35.02"
"82";"1956-11-01";"34.98"
"83";"1956-12-01";"34.9"
"84";"1957-01-01";"34.88"
"85";"1957-02-01";"34.89"
"86";"1957-03-01";"34.91"
"87";"1957-04-01";"34.92"
"88";"1957-05-01";"34.93"
"89";"1957-06-01";"34.99"
"90";"1957-07-01";"34.99"
"91";"1957-08-01";"34.97"
"92";"1957-09-01";"34.96"
"93";"1957-10-01";"34.97"
"94";"1957-11-01";"34.97"
"95";"1957-12-01";"34.99"
"96";"1958-01-01";"35.01"
"97";"1958-02-01";"35.08"
"98";"1958-03-01";"35.09"
"99";"1958-04-01";"35.1"
"100";"1958-05-01";"35.11"
"101";"1958-06-01";"35.1"
"102";"1958-07-01";"35.11"
"103";"1958-08-01";"35.1"
"104";"1958-09-01";"35.1"
"105";"1958-10-01";"35.11"
"106";"1958-11-01";"35.1"
"107";"1958-12-01";"35.09"
"108";"1959-01-01";"35.07"
"109";"1959-02-01";"35.06"
"110";"1959-03-01";"35.06"
"111";"1959-04-01";"35.08"
"112";"1959-05-01";"35.12"
"113";"1959-06-01";"35.12"
"114";"1959-07-01";"35.13"
"115";"1959-08-01";"35.12"
"116";"1959-09-01";"35.13"
"117";"1959-10-01";"35.1"
"118";"1959-11-01";"35.06"
"119";"1959-12-01";"35.05"
"120";"1960-01-01";"35.09"
"121";"1960-02-01";"35.09"
"122";"1960-03-01";"35.09"
"123";"1960-04-01";"35.11"
"124";"1960-05-01";"35.1"
"125";"1960-06-01";"35.09"
"126";"1960-07-01";"35.1"
"127";"1960-08-01";"35.13"
"128";"1960-09-01";"35.22"
"129";"1960-10-01";"35.78"
"130";"1960-11-01";"35.82"
"131";"1960-12-01";"35.54"
"132";"1961-01-01";"35.56"
"133";"1961-02-01";"35.17"
"134";"1961-03-01";"35.08"
"135";"1961-04-01";"35.08"
"136";"1961-05-01";"35.06"
"137";"1961-06-01";"35.07"
"138";"1961-07-01";"35.11"
"139";"1961-08-01";"35.16"
"140";"1961-09-01";"35.19"
"141";"1961-10-01";"35.19"
"142";"1961-11-01";"35.19"
"143";"1961-12-01";"35.15"
"144";"1962-01-01";"35.16"
"145";"1962-02-01";"35.13"
"146";"1962-03-01";"35.09"
"147";"1962-04-01";"35.08"
"148";"1962-05-01";"35.08"
"149";"1962-06-01";"35.1"
"150";"1962-07-01";"35.12"
"151";"1962-08-01";"35.12"
"152";"1962-09-01";"35.13"
"153";"1962-10-01";"35.14"
"154";"1962-11-01";"35.09"
"155";"1962-12-01";"35.08"
"156";"1963-01-01";"35.06"
"157";"1963-02-01";"35.08"
"158";"1963-03-01";"35.1"
"159";"1963-04-01";"35.1"
"160";"1963-05-01";"35.08"
"161";"1963-06-01";"35.08"
"162";"1963-07-01";"35.09"
"163";"1963-08-01";"35.1"
"164";"1963-09-01";"35.08"
"165";"1963-10-01";"35.08"
"166";"1963-11-01";"35.08"
"167";"1963-12-01";"35.08"
"168";"1964-01-01";"35.08"
"169";"1964-02-01";"35.08"
"170";"1964-03-01";"35.08"
"171";"1964-04-01";"35.08"
"172";"1964-05-01";"35.08"
"173";"1964-06-01";"35.08"
"174";"1964-07-01";"35.08"
"175";"1964-08-01";"35.08"
"176";"1964-09-01";"35.09"
"177";"1964-10-01";"35.11"
"178";"1964-11-01";"35.1"
"179";"1964-12-01";"35.12"
"180";"1965-01-01";"35.13"
"181";"1965-02-01";"35.14"
"182";"1965-03-01";"35.16"
"183";"1965-04-01";"35.14"
"184";"1965-05-01";"35.1"
"185";"1965-06-01";"35.1"
"186";"1965-07-01";"35.12"
"187";"1965-08-01";"35.15"
"188";"1965-09-01";"35.14"
"189";"1965-10-01";"35.11"
"190";"1965-11-01";"35.11"
"191";"1965-12-01";"35.13"
"192";"1966-01-01";"35.15"
"193";"1966-02-01";"35.17"
"194";"1966-03-01";"35.15"
"195";"1966-04-01";"35.13"
"196";"1966-05-01";"35.12"
"197";"1966-06-01";"35.15"
"198";"1966-07-01";"35.18"
"199";"1966-08-01";"35.18"
"200";"1966-09-01";"35.19"
"201";"1966-10-01";"35.16"
"202";"1966-11-01";"35.16"
"203";"1966-12-01";"35.18"
"204";"1967-01-01";"35.18"
"205";"1967-02-01";"35.17"
