id;date;price
1;01.02.1950;34.73
2;01.03.1950;34.73
3;01.04.1950;34.73
4;01.05.1950;34.73
5;01.06.1950;34.73
6;01.07.1950;34.73
7;01.08.1950;34.73
8;01.09.1950;34.73
9;01.10.1950;34.73
10;01.11.1950;34.73
11;01.12.1950;34.72
12;01.01.1951;34.72
13;01.02.1951;34.73
14;01.03.1951;34.73
15;01.04.1951;34.73
16;01.05.1951;34.73
17;01.06.1951;34.73
18;01.07.1951;34.72
19;01.08.1951;34.71
20;01.09.1951;34.71
21;01.10.1951;34.71
22;01.11.1951;34.73
23;01.12.1951;34.66
24;01.01.1952;34.49
25;01.02.1952;34.49
26;01.03.1952;34.68
27;01.04.1952;34.82
28;01.05.1952;34.73
29;01.06.1952;34.53
30;01.07.1952;34.57
31;01.08.1952;34.58
32;01.09.1952;34.51
33;01.10.1952;34.63
34;01.11.1952;34.72
35;01.12.1952;34.79
36;01.01.1953;34.88
37;01.02.1953;34.95
38;01.03.1953;34.92
39;01.04.1953;34.93
40;01.05.1953;34.9
41;01.06.1953;34.89
42;01.07.1953;34.91
43;01.08.1953;34.91
44;01.09.1953;34.76
45;01.10.1953;34.79
46;01.11.1953;34.86
47;01.12.1953;34.85
48;01.01.1954;34.86
49;01.02.1954;34.88
50;01.03.1954;34.92
51;01.04.1954;35.04
52;01.05.1954;35.08
53;01.06.1954;35.07
54;01.07.1954;35.08
55;01.08.1954;35.05
56;01.09.1954;35.08
57;01.10.1954;35.08
58;01.11.1954;35.06
59;01.12.1954;35.04
60;01.01.1955;35.04
61;01.02.1955;35.05
62;01.03.1955;35.06
63;01.04.1955;35.05
64;01.05.1955;35.05
65;01.06.1955;35.04
66;01.07.1955;35.05
67;01.08.1955;35.03
68;01.09.1955;34.98
69;01.10.1955;34.98
70;01.11.1955;34.98
71;01.12.1955;34.97
72;01.01.1956;34.99
73;01.02.1956;34.99
74;01.03.1956;34.99
75;01.04.1956;34.98
76;01.05.1956;34.99
77;01.06.1956;34.98
78;01.07.1956;35.00
79;01.08.1956;35.02
80;01.09.1956;35.01
81;01.10.1956;35.02
82;01.11.1956;34.98
83;01.12.1956;34.9
84;01.01.1957;34.88
85;01.02.1957;34.89
86;01.03.1957;34.91
87;01.04.1957;34.92
88;01.05.1957;34.93
89;01.06.1957;34.99
90;01.07.1957;34.99
91;01.08.1957;34.97
92;01.09.1957;34.96
93;01.10.1957;34.97
94;01.11.1957;34.97
95;01.12.1957;34.99
96;01.01.1958;35.01
97;01.02.1958;35.08
98;01.03.1958;35.09
99;01.04.1958;35.1
100;01.05.1958;35.11
101;01.06.1958;35.1
102;01.07.1958;35.11
103;01.08.1958;35.1
104;01.09.1958;35.1
105;01.10.1958;35.11
106;01.11.1958;35.1
107;01.12.1958;35.09
108;01.01.1959;35.07
109;01.02.1959;35.06
110;01.03.1959;35.06
111;01.04.1959;35.08
112;01.05.1959;35.12
113;01.06.1959;35.12
114;01.07.1959;35.13
115;01.08.1959;35.12
116;01.09.1959;35.13
117;01.10.1959;35.1
118;01.11.1959;35.06
119;01.12.1959;35.05
120;01.01.1960;35.09
121;01.02.1960;35.09
122;01.03.1960;35.09
123;01.04.1960;35.11
124;01.05.1960;35.1
125;01.06.1960;35.09
126;01.07.1960;35.1
127;01.08.1960;35.13
128;01.09.1960;35.22
129;01.10.1960;35.78
130;01.11.1960;35.82
131;01.12.1960;35.54
132;01.01.1961;35.56
133;01.02.1961;35.17
134;01.03.1961;35.08
135;01.04.1961;35.08
136;01.05.1961;35.06
137;01.06.1961;35.07
138;01.07.1961;35.11
139;01.08.1961;35.16
140;01.09.1961;35.19
141;01.10.1961;35.19
142;01.11.1961;35.19
143;01.12.1961;35.15
144;01.01.1962;35.16
145;01.02.1962;35.13
146;01.03.1962;35.09
147;01.04.1962;35.08
148;01.05.1962;35.08
149;01.06.1962;35.1
150;01.07.1962;35.12
151;01.08.1962;35.12
152;01.09.1962;35.13
153;01.10.1962;35.14
154;01.11.1962;35.09
155;01.12.1962;35.08
156;01.01.1963;35.06
157;01.02.1963;35.08
158;01.03.1963;35.1
159;01.04.1963;35.1
160;01.05.1963;35.08
161;01.06.1963;35.08
162;01.07.1963;35.09
163;01.08.1963;35.1
164;01.09.1963;35.08
165;01.10.1963;35.08
166;01.11.1963;35.08
167;01.12.1963;35.08
168;01.01.1964;35.08
169;01.02.1964;35.08
170;01.03.1964;35.08
171;01.04.1964;35.08
172;01.05.1964;35.08
173;01.06.1964;35.08
174;01.07.1964;35.08
175;01.08.1964;35.08
176;01.09.1964;35.09
177;01.10.1964;35.11
178;01.11.1964;35.1
179;01.12.1964;35.12
180;01.01.1965;35.13
181;01.02.1965;35.14
182;01.03.1965;35.16
183;01.04.1965;35.14
184;01.05.1965;35.1
185;01.06.1965;35.1
186;01.07.1965;35.12
187;01.08.1965;35.15
188;01.09.1965;35.14
189;01.10.1965;35.11
190;01.11.1965;35.11
191;01.12.1965;35.13
192;01.01.1966;35.15
193;01.02.1966;35.17
194;01.03.1966;35.15
195;01.04.1966;35.13
196;01.05.1966;35.12
197;01.06.1966;35.15
198;01.07.1966;35.18
199;01.08.1966;35.18
200;01.09.1966;35.19
201;01.10.1966;35.16
202;01.11.1966;35.16
203;01.12.1966;35.18
204;01.01.1967;35.18
205;01.02.1967;35.17
206;01.03.1967;35.16
207;01.04.1967;35.17
208;01.05.1967;35.18
209;01.06.1967;35.19
210;01.07.1967;35.19
211;01.08.1967;35.19
212;01.09.1967;35.19
213;01.10.1967;35.19
214;01.11.1967;35.2
215;01.12.1967;35.19
216;01.01.1968;35.18
217;01.02.1968;35.2
218;01.03.1968;35.2
219;01.04.1968;37.878
220;01.05.1968;40.691
221;01.06.1968;41.111
222;01.07.1968;39.53
223;01.08.1968;39.17
224;01.09.1968;40.203
225;01.10.1968;39.21
226;01.11.1968;39.795
227;01.12.1968;41.113
228;01.01.1969;42.291
229;01.02.1969;42.616
230;01.03.1969;43.171
231;01.04.1969;43.295
232;01.05.1969;43.461
233;01.06.1969;41.442
234;01.07.1969;41.755
235;01.08.1969;41.128
236;01.09.1969;40.865
237;01.10.1969;40.476
238;01.11.1969;37.452
239;01.12.1969;35.189
240;01.01.1970;34.946
241;01.02.1970;34.994
242;01.03.1970;35.089
243;01.04.1970;35.623
244;01.05.1970;35.958
245;01.06.1970;35.437
246;01.07.1970;35.329
247;01.08.1970;35.377
248;01.09.1970;36.196
249;01.10.1970;37.553
250;01.11.1970;37.455
251;01.12.1970;37.434
252;01.01.1971;37.868
253;01.02.1971;38.716
254;01.03.1971;38.873
255;01.04.1971;39.001
256;01.05.1971;40.493
257;01.06.1971;40.105
258;01.07.1971;40.929
259;01.08.1971;42.722
260;01.09.1971;41.976
261;01.10.1971;42.473
262;01.11.1971;42.842
263;01.12.1971;43.455
264;01.01.1972;45.64
265;01.02.1972;48.237
266;01.03.1972;48.288
267;01.04.1972;49.026
268;01.05.1972;54.5
269;01.06.1972;62.17
270;01.07.1972;65.558
271;01.08.1972;66.917
272;01.09.1972;65.589
273;01.10.1972;64.824
274;01.11.1972;62.726
275;01.12.1972;63.779
276;01.01.1973;65.127
277;01.02.1973;73.971
278;01.03.1973;84.105
279;01.04.1973;90.441
280;01.05.1973;101.623
281;01.06.1973;119.8
282;01.07.1973;120.364
283;01.08.1973;106.225
284;01.09.1973;103.034
285;01.10.1973;99.923
286;01.11.1973;94.645
287;01.12.1973;106.236
288;01.01.1974;129.027
289;01.02.1974;150.00
290;01.03.1974;168.298
291;01.04.1974;172.243
292;01.05.1974;163.568
293;01.06.1974;154.013
294;01.07.1974;142.283
295;01.08.1974;154.362
296;01.09.1974;151.66
297;01.10.1974;158.533
298;01.11.1974;181.483
299;01.12.1974;183.683
300;01.01.1975;176.864
301;01.02.1975;179.553
302;01.03.1975;178.203
303;01.04.1975;170.066
304;01.05.1975;167.293
305;01.06.1975;164.25
306;01.07.1975;164.867
307;01.08.1975;163.168
308;01.09.1975;144.311
309;01.10.1975;142.691
310;01.11.1975;142.565
311;01.12.1975;139.279
312;01.01.1976;131.695
313;01.02.1976;130.94
314;01.03.1976;132.676
315;01.04.1976;127.91
316;01.05.1976;126.913
317;01.06.1976;125.684
318;01.07.1976;117.866
319;01.08.1976;110.055
320;01.09.1976;114.098
321;01.10.1976;116.095
322;01.11.1976;130.341
323;01.12.1976;133.674
324;01.01.1977;132.306
325;01.02.1977;136.163
326;01.03.1977;148.339
327;01.04.1977;149.184
328;01.05.1977;146.536
329;01.06.1977;140.828
330;01.07.1977;143.383
331;01.08.1977;145.009
332;01.09.1977;149.334
333;01.10.1977;158.848
334;01.11.1977;162.132
335;01.12.1977;160.48
336;01.01.1978;173.207
337;01.02.1978;178.36
338;01.03.1978;183.771
339;01.04.1978;175.323
340;01.05.1978;176.19
341;01.06.1978;183.761
342;01.07.1978;188.569
343;01.08.1978;206.455
344;01.09.1978;212.212
345;01.10.1978;227.432
346;01.11.1978;207.082
347;01.12.1978;207.895
348;01.01.1979;226.986
349;01.02.1979;245.59
350;01.03.1979;242.348
351;01.04.1979;239.174
352;01.05.1979;257.738
353;01.06.1979;279.36
354;01.07.1979;295.009
355;01.08.1979;300.793
356;01.09.1979;354.498
357;01.10.1979;390.959
358;01.11.1979;391.518
359;01.12.1979;463.666
360;01.01.1980;674.58
