id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
2;1;Walmart;"2,300,000";1;486 ;0.8%;"$13,643.0 ";-7.2%;199 ;219 
3;2;Berkshire Hathaway;"367,7";4;224 ;6.1%;"$24,074.0 ";0.0%;621 ;411 
4;3;Apple;116;3;216 ;-7.7%;"$45,687.0 ";-14.4%;322 ;754 
5;4;Exxon Mobil;"72,7";2;205 ;-16.7%;"$7,840.0 ";-51.5%;330 ;340 
6;5;McKesson;68;5;192 ;6.2%;"$2,258.0 ";53.0%;057 ;031 
7;6;UnitedHealth Group;230;6;185 ;17.7%;"$7,017.0 ";20.7%;123 ;158 
8;7;CVS Health;204;7;178 ;15.8%;"$5,317.0 ";1.5%;094 ;081 
9;8;General Motors;225;8;166 ;9.2%;"$9,427.0 ";-2.7%;222 ;053 
10;9;AT&T;"268,54";10;164 ;11.6%;"$12,976.0 ";-2.8%;404 ;256 
11;10;Ford Motor;201;9;152 ;1.5%;"$4,596.0 ";-37.7%;238 ;046 
12;11;AmerisourceBergen;"18,5";12;147 ;8.0%;"$1,427.9 ";-;034 ;019 
13;12;Amazon.com;"341,4";18;136 ;27.1%;"$2,371.0 ";297.8%;083 ;423 
14;13;General Electric;295;11;127 ;-9.8%;"$8,831.0 ";-;365 ;260 
15;14;Verizon;"160,9";13;126 ;-4.3%;"$13,127.0 ";-26.6%;244 ;199 
16;15;Cardinal Health;"37,3";21;122 ;18.5%;"$1,427.0 ";17.4%;034 ;026 
17;16;Costco;172;15;119 ;2.2%;"$2,350.0 ";-1.1%;033 ;074 
18;17;Walgreens Boots Alliance;300;19;117 ;13.4%;"$4,173.0 ";-1.1%;073 ;090 
19;18;Kroger;443;17;115 ;5.0%;"$1,975.0 ";-3.1%;037 ;027 
20;19;Chevron;"55,2";14;108 ;-18.0%;-$497.0 ;-110.8%;260 ;203 
21;20;Fannie Mae;7;16;107 ;-2.9%;"$12,313.0 ";12.4%;"$3,287,968";003 
22;21;J.P. Morgan Chase;"243,355";23;105 ;4.4%;"$24,733.0 ";1.2%;"$2,490,972";314 
23;22;Express Scripts Holding;"25,6";22;100 ;-1.4%;"$3,404.4 ";37.5%;052 ;040 
24;23;Home Depot;406;28;095 ;6.9%;"$7,957.0 ";13.5%;043 ;176 
25;24;Boeing;"150,54";24;095 ;-1.6%;"$4,895.0 ";-5.4%;090 ;108 
26;25;Wells Fargo;"269,1";27;094 ;4.6%;"$21,938.0 ";-4.2%;"$1,930,115";279 
27;26;Bank of America Corp.;"208,024";26;094 ;0.7%;"$17,906.0 ";12.7%;"$2,187,702";236 
28;27;Alphabet;"72,053";36;090 ;20.4%;"$19,478.0 ";19.1%;167 ;579 
29;28;Microsoft;114;25;085 ;-8.8%;"$16,798.0 ";37.8%;194 ;509 
30;29;Anthem;53;33;085 ;7.2%;"$2,469.8 ";-3.5%;065 ;044 
31;30;Citigroup;219;29;082 ;-6.7%;"$14,912.0 ";-13.5%;"$1,792,077";165 
32;31;Comcast;159;37;080 ;7.9%;"$8,695.0 ";6.5%;181 ;178 
33;32;IBM;"414,4";31;080 ;-3.1%;"$11,872.0 ";-10.0%;117 ;164 
34;33;State Farm Insurance Cos.;"68,234";35;076 ;0.6%;$350.3 ;-94.4%;256 ;-
35;34;Phillips 66;"14,8";30;072 ;-16.9%;"$1,555.0 ";-63.2%;052 ;041 
36;35;Johnson & Johnson;"126,4";39;072 ;2.6%;"$16,540.0 ";7.3%;141 ;338 
37;36;Procter & Gamble;105;34;072 ;-8.9%;"$10,508.0 ";49.3%;127 ;230 
38;37;Valero Energy;"9,996";32;070 ;-14.2%;"$2,289.0 ";-42.6%;046 ;030 
39;38;Target;323;38;069 ;-5.8%;"$2,737.0 ";-18.6%;037 ;031 
40;39;Freddie Mac;"5,982";43;066 ;3.4%;"$7,815.0 ";22.6%;"$2,023,376";002 
41;40;Lowe;240;47;065 ;10.1%;"$3,093.0 ";21.5%;034 ;070 
42;41;Dell Technologies;138;;065 ;18.1%;"-$1,672.0 ";-;118 ;-
43;42;MetLife;58;40;063 ;-9.3%;$800.0 ;-84.9%;899 ;057 
44;43;Aetna;"49,5";46;063 ;4.7%;"$2,271.0 ";-5.0%;069 ;045 
45;44;PepsiCo;264;44;063 ;-0.4%;"$6,329.0 ";16.1%;074 ;160 
46;45;Archer Daniels Midland;"31,8";41;062 ;-7.9%;"$1,279.0 ";-30.8%;040 ;026 
47;46;UPS;"335,52";48;061 ;4.4%;"$3,431.0 ";-29.2%;040 ;093 
48;47;Intel;106;51;059 ;7.3%;"$10,316.0 ";-9.7%;113 ;171 
49;48;Prudential Financial;"49,739";50;059 ;2.9%;"$4,368.0 ";-22.6%;784 ;046 
50;49;Albertsons Cos.;274;;059 ;115.9%;-$502.2 ;-;024 ;-
51;50;United Technologies;"201,6";45;057 ;-6.2%;"$5,055.0 ";-33.6%;090 ;090 
