,accel,cyl,displ,hp,mpg,name,origin,weight,yr
0,12.0,8,307.0,130,18.0,chevrolet chevelle malibu,US,3504,70
1,11.5,8,350.0,165,15.0,buick skylark 320,US,3693,70
2,11.0,8,318.0,150,18.0,plymouth satellite,US,3436,70
3,12.0,8,304.0,150,16.0,amc rebel sst,US,3433,70
4,10.5,8,302.0,140,17.0,ford torino,US,3449,70
5,10.0,8,429.0,198,15.0,ford galaxie 500,US,4341,70
6,9.0,8,454.0,220,14.0,chevrolet impala,US,4354,70
7,8.5,8,440.0,215,14.0,plymouth fury iii,US,4312,70
8,10.0,8,455.0,225,14.0,pontiac catalina,US,4425,70
9,8.5,8,390.0,190,15.0,amc ambassador dpl,US,3850,70
10,10.0,8,383.0,170,15.0,dodge challenger se,US,3563,70
11,8.0,8,340.0,160,14.0,plymouth 'cuda 340,US,3609,70
12,9.5,8,400.0,150,15.0,chevrolet monte carlo,US,3761,70
13,10.0,8,455.0,225,14.0,buick estate wagon (sw),US,3086,70
14,15.0,4,113.0,95,24.0,toyota corona mark ii,Asia,2372,70
15,15.5,6,198.0,95,22.0,plymouth duster,US,2833,70
16,15.5,6,199.0,97,18.0,amc hornet,US,2774,70
17,16.0,6,200.0,85,21.0,ford maverick,US,2587,70
18,14.5,4,97.0,88,27.0,datsun pl510,Asia,2130,70
19,20.5,4,97.0,46,26.0,volkswagen 1131 deluxe sedan,Europe,1835,70
20,17.5,4,110.0,87,25.0,peugeot 504,Europe,2672,70
21,14.5,4,107.0,90,24.0,audi 100 ls,Europe,2430,70
22,17.5,4,104.0,95,25.0,saab 99e,Europe,2375,70
23,12.5,4,121.0,113,26.0,bmw 2002,Europe,2234,70
24,15.0,6,199.0,90,21.0,amc gremlin,US,2648,70
25,14.0,8,360.0,215,10.0,ford f250,US,4615,70
26,15.0,8,307.0,200,10.0,chevy c20,US,4376,70
27,13.5,8,318.0,210,11.0,dodge d200,US,4382,70
28,18.5,8,304.0,193,9.0,hi 1200d,US,4732,70
29,14.5,4,97.0,88,27.0,datsun pl510,Asia,2130,71
30,15.5,4,140.0,90,28.0,chevrolet vega 2300,US,2264,71
31,14.0,4,113.0,95,25.0,toyota corona,Asia,2228,71
32,13.0,6,232.0,100,19.0,amc gremlin,US,2634,71
33,15.5,6,225.0,105,16.0,plymouth satellite custom,US,3439,71
34,15.5,6,250.0,100,17.0,chevrolet chevelle malibu,US,3329,71
35,15.5,6,250.0,88,19.0,ford torino 500,US,3302,71
36,15.5,6,232.0,100,18.0,amc matador,US,3288,71
37,12.0,8,350.0,165,14.0,chevrolet impala,US,4209,71
38,11.5,8,400.0,175,14.0,pontiac catalina brougham,US,4464,71
39,13.5,8,351.0,153,14.0,ford galaxie 500,US,4154,71
40,13.0,8,318.0,150,14.0,plymouth fury iii,US,4096,71
41,11.5,8,383.0,180,12.0,dodge monaco (sw),US,4955,71
42,12.0,8,400.0,170,13.0,ford country squire (sw),US,4746,71
43,12.0,8,400.0,175,13.0,pontiac safari (sw),US,5140,71
44,13.5,6,258.0,110,18.0,amc hornet sportabout (sw),US,2962,71
45,19.0,4,140.0,72,22.0,chevrolet vega (sw),US,2408,71
46,15.0,6,250.0,100,19.0,pontiac firebird,US,3282,71
47,14.5,6,250.0,88,18.0,ford mustang,US,3139,71
48,14.0,4,122.0,86,23.0,mercury capri 2000,US,2220,71
49,14.0,4,116.0,90,28.0,opel 1900,Europe,2123,71
50,19.5,4,79.0,70,30.0,peugeot 304,Europe,2074,71
51,14.5,4,88.0,76,30.0,fiat 124b,Europe,2065,71
